166	203	9
12	4333	12
6723	7616	12
170	881	2
270	8765	7
6769	5884	4
267	6759	5
19904	6101	4
670	2752	26
101	1391	10
14	1888	6
14	8389	23
105	7812	2
1743	814	14
8158	1741	14
251	418	5
109	9914	6
156	8058	0
59	9334	1
1647	8938	5
133	3903	15
1780	9356	19
2594	450	1
25846	7873	0
145	1196	1
27105	7486	4
1068	3840	1
152	6655	7
16	1926	2
103	9931	6
412	791	3
29423	7517	9
102	2154	2
12	3336	21
57	5626	15
12	5696	4
180	4840	12
101	7429	7
134	892	2
10715	9061	1
110	5815	18
492	5674	4
112	9567	5
14	5582	18
103	2062	4
14	4608	16
191	6125	5
102	8545	2
256	3416	4
12	934	4
318	1194	12
101	8005	5
595	2341	18
13546	4425	7
103	7106	14
160	8754	1
14	2797	31
1621	2314	1
507	4199	16
165	5738	7
756	1550	19
547	3750	18
105	8522	10
28057	9592	5
102	1733	7
5632	2067	3
6125	9045	20
120	4064	9
130	4458	14
107	3162	2
126	3407	4
263	1958	7
116	5061	3
14	1889	18
22086	701	1
820	2335	9
6767	1004	6
928	7406	2
693	6652	10
102	9768	2
740	5933	9
101	225	10
101	4461	2
4813	1268	1
102	6703	14
116	2598	8
1192	6098	7
57	6969	16
101	6060	16
103	4013	8
13424	7856	8
1205	5620	15
1047	6449	4
4242	2445	10
115	3971	0
3250	6464	22
6860	7949	2
4066	7058	4
134	8507	9
4440	3367	5
14	9410	17
233	8140	9
101	2633	9
188	1046	9
115	3396	0
377	4942	2
204	8346	3
14	4878	20
26784	928	12
12	6149	13
3409	2391	5
484	9237	9
138	6717	4
1565	4716	15
18913	6024	13
177	9379	8
14077	8621	13
715	7089	20
120	9414	5
32816	1104	20
25753	4741	23
102	1134	29
11016	4562	3
204	5810	14
167	809	5
197	9641	27
1254	3119	4
118	8866	21
102	6824	12
12	9484	5
135	1944	0
102	8587	14
3400	1718	4
6525	4459	20
122	4695	4
110	9723	19
59	3316	7
759	9	10
4032	9925	5
118	1699	14
214	7202	24
154	9916	2
12	8012	13
107	5213	1
22666	7030	2
5197	5112	9
908	6237	8
844	3757	23
33208	8467	7
745	3592	9
138	8765	14
108	9616	6
108	6296	26
1846	8151	6
104	4417	5
12	3428	15
107	6137	11
1318	731	2
9494	3486	3
103	7265	2
110	4050	15
1786	6268	9
2622	9546	28
5688	9556	0
13032	5997	17
746	591	25
5747	9564	2
1892	2061	12
31006	1167	1
35454	8181	10
2910	4337	8
14	8393	22
106	8190	15
1324	7008	7
825	4819	8
1118	5972	7
10905	9811	7
3082	6092	2
9322	2713	5
142	5986	13
1330	723	20
12	5259	5
12	8866	28
3326	1816	20
1462	1594	11
118	5390	11
135	2101	0
6200	3640	2
433	686	5
770	1780	16
480	4153	6
4295	2428	13
101	1024	1
26339	6564	4
2642	2618	4
101	4674	11
27060	1805	25
14	3374	8
129	2691	0
909	9553	9
121	1688	9
188	9370	3
1246	4761	8
101	9770	4
293	5254	15
24069	6774	14
1350	8721	13
144	2667	3
36205	6225	19
24012	8844	13
1367	7757	0
1401	5887	10
131	9708	16
398	8186	16
105	6180	31
128	5728	1
208	7142	0
9227	4165	7
186	8697	0
3087	1902	29
101	2890	24
124	2037	4
9707	9013	9
261	8592	12
106	5435	2
9560	7129	30
4025	3320	2
142	7683	10
114	9738	11
1032	2309	2
124	2681	9
1602	3518	5
101	237	11
120	6666	8
5926	5042	17
170	317	1
1840	4020	8
172	5174	2
101	6826	10
103	4802	6
278	2302	2
1091	6013	15
22646	8445	11
620	8581	9
523	5793	4
433	2630	4
1346	7575	4
118	578	5
2519	5093	6
14	1927	31
161	4000	2
101	1133	15
16180	4853	10
12	7397	18
5438	3302	13
12	9763	12
12	4014	26
109	1712	26
102	6976	5
102	2857	17
9429	4801	4
2707	1670	28
216	416	0
113	3287	26
2783	3551	7
141	9922	4
16	2511	10
30637	7960	7
32577	4563	7
14	7688	14
1312	3037	17
26956	6025	18
487	5067	12
3597	8961	1
6776	6129	18
7163	7812	6
1706	484	13
32774	8416	9
102	1991	2
4279	4691	1
648	1249	0
144	6477	5
159	9392	28
132	6103	9
1698	5721	14
9399	2229	2
1045	6899	14
102	941	10
120	1184	3
8075	6621	14
317	8414	10
821	9680	14
787	186	0
118	132	17
12	7559	12
120	8168	18
2	4180	9
14	4263	11
110	2198	26
7402	5382	0
4566	7737	33
712	8058	3
12186	670	23
1520	4137	24
35621	7606	6
104	5314	16
227	4663	22
947	8530	4
139	9791	1
134	2684	10
163	9956	12
9037	1872	12
14	2921	12
14	3239	14
108	4596	8
27534	9138	11
105	6572	13
479	3356	15
4829	2161	14
224	5339	23
2569	9481	12
13	2876	8
27220	927	9
31756	3406	5
279	5075	1
102	4930	8
782	8127	5
126	8492	9
31618	7791	25
128	6470	2
456	2809	16
119	7816	2
129	2851	0
